1 xplmin   xplmax   zplmax   arad   x-zero   xmagax   xmaj  xzmax  xatpi  xofset  a-ratio
     2   36  -0.272743345E+00   0.405825426E+01   0.484505833E-02   0.169655844E-02  -0.362979388E-03   0.350083199E+00  -0.101136905E-02  -0.353742510E+00  -0.550720512E-04
     2   37  -0.272743345E+00   0.405810126E+01   0.493302575E-02   0.172741019E-02  -0.367209537E-03   0.350089764E+00  -0.957250428E-03  -0.353762542E+00  -0.584601681E-04
     2   38  -0.272743345E+00   0.405794556E+01   0.501612321E-02   0.175655921E-02  -0.370920550E-03   0.350096588E+00  -0.902174040E-03  -0.353782792E+00  -0.619486774E-04
     2   39  -0.272743345E+00   0.405778732E+01   0.509426592E-02   0.178397564E-02  -0.374109477E-03   0.350103673E+00  -0.846194174E-03  -0.353803227E+00  -0.655331237E-04
     2   40  -0.272743345E+00   0.405762669E+01   0.516737402E-02   0.180963137E-02  -0.376773369E-03   0.350111023E+00  -0.789366109E-03  -0.353823808E+00  -0.692094682E-04
     2   41  -0.272743345E+00   0.405746383E+01   0.523537269E-02   0.183349999E-02  -0.378916965E-03   0.350118642E+00  -0.731746061E-03  -0.353844509E+00  -0.729664121E-04
     2   42  -0.272743345E+00   0.405729891E+01   0.529819222E-02   0.185555693E-02  -0.380547004E-03   0.350126535E+00  -0.673391121E-03  -0.353865311E+00  -0.767910940E-04
     2   43  -0.272743345E+00   0.405713208E+01   0.535576814E-02   0.187577940E-02  -0.381658028E-03   0.350134699E+00  -0.614359201E-03  -0.353886156E+00  -0.806832923E-04
     2   44  -0.272743345E+00   0.405696351E+01   0.540804128E-02   0.189414647E-02  -0.382266394E-03   0.350143140E+00  -0.554708972E-03  -0.353907046E+00  -0.846214217E-04
     2   45  -0.272743345E+00   0.405679338E+01   0.545495784E-02   0.191063908E-02  -0.382371256E-03   0.350151856E+00  -0.494499800E-03  -0.353927926E+00  -0.886015619E-04
     2   46  -0.272743345E+00   0.405662185E+01   0.549646951E-02   0.192524009E-02  -0.381983559E-03   0.350160848E+00  -0.433791684E-03  -0.353948778E+00  -0.926084672E-04
     2   47  -0.272743345E+00   0.405644909E+01   0.553253349E-02   0.193793428E-02  -0.381111916E-03   0.350170115E+00  -0.372645193E-03  -0.353969570E+00  -0.966296971E-04
     2   48  -0.272743345E+00   0.405627527E+01   0.556311255E-02   0.194870836E-02  -0.379767298E-03   0.350179656E+00  -0.311121395E-03  -0.353990279E+00  -0.100650930E-03
     2   49  -0.272743345E+00   0.405610057E+01   0.558817512E-02   0.195755105E-02  -0.377959834E-03   0.350189467E+00  -0.249281794E-03  -0.354010871E+00  -0.104659170E-03
     2   50  -0.272743345E+00   0.405592517E+01   0.560769530E-02   0.196445301E-02  -0.375701807E-03   0.350199545E+00  -0.187188262E-03  -0.354031318E+00  -0.108639758E-03
     2   51  -0.272743345E+00   0.405574924E+01   0.562165291E-02   0.196940693E-02  -0.373006931E-03   0.350209885E+00  -0.124902966E-03  -0.354051604E+00  -0.112577089E-03
     2   52  -0.272743345E+00   0.405557295E+01   0.563003350E-02   0.197240750E-02  -0.369888574E-03   0.350220480E+00  -0.624883032E-04  -0.354071696E+00  -0.116456404E-03
